first name,last name,address,city,zipcode,state,country,email,phone,role
Amanda,Long,10 Napa Ct.,Lebanon,97355,Oregon,UK,ALong@gmail.com,8185644564,presenter
Christian,Shan,1000 Bidweld Street,Haney,97355,British Columbia,UK,CShan@gmail.com,8185644564,presenter
Troy,Sara,1002 N. Spoonwood Court,Hervey Bay,97355,Queensland,UK,TSara@gmail.com,8185644564,presenter
Kaitlyn,Baker,1003 Matterhorn Ct,Lebanon,97355,Oregon,UK,KBaker@gmail.com,8185644564,presenter
Suzanne,Ma,1005 Matterhorn Ct.,Cambridge,97355,England,UK,SMa@gmail.com,8185644564,presenter
Anna,Jones,1005 Matterhorn Ct.,Mill Valley,97355,California,US,AJones@gmail.com,8185644564,presenter
Carlos,Baker,1005 Tanager Court,Corvallis,97355,Oregon,US,CBaker@gmail.com,8185644564,presenter
Tanya,Munoz,1005 Tanager Court,Milsons Point,97355,New South Wales,US,TMunoz@gmail.com,8185644564,presenter
Tabitha,Gill,1006 Deercreek Ln,Bellflower,97355,California,US,TGill@gmail.com,8185644564,presenter
Alexis,Lee,1006 Deercreek Ln,Torrance,97355,California,US,ALee@gmail.com,8185644564,presenter
Erick,Suri,101 Adobe Dr,Coffs Harbour,97355,New South Wales,US,ESuri@gmail.com,8185644564,presenter
Marcus,Evans,101 Adobe Dr,Puyallup,97355,Washington,US,MEvans@gmail.com,8185644564,presenter
Marcus,Clark,"101, avenue de la Gare",Peterborough,97355,England,US,MClark@gmail.com,8185644564,presenter
Gilbert,Xu,1010 Maple,Baltimore,97355,Maryland,US,GXu@gmail.com,8185644564,presenter
Paula,Rubio,1011 Yolanda Circle,Berkeley,97355,California,US,PRubio@gmail.com,8185644564,presenter
Julian,Isla,1011 Yolanda Circle,N. Vancouver,97355,British Columbia,US,JIsla@gmail.com,8185644564,presenter
Jesse,Scott,1013 Holiday Hills Dr.,Bremerton,97355,Washington,US,JScott@gmail.com,8185644564,presenter
Naomi,Sanz,1013 Holiday Hills Dr.,Gateshead,97355,England,US,NSanz@gmail.com,8185644564,presenter
Isabella,Lee,1015 Lynwood Drive,Metchosin,97355,British Columbia,US,ILee@gmail.com,8185644564,presenter
Dawn,Yuan,1019 Carletto Drive,Berkeley,97355,California,US,DYuan@gmail.com,8185644564,student
Olivia,Blue,1019 Mt. Davidson Court,Burien,97355,Washington,US,OBlue@gmail.com,8185644564,student
Emmanuel,Lopez,1019 Mt. Davidson Court,London,97355,England,US,ELopez@gmail.com,8185644564,student
Nathan,Yang,102 Vista Place,Santa Monica,97355,California,US,NYang@gmail.com,8185644564,student
Gabrielle,Wood,1020 Book Road,Bremerton,97355,Washington,US,GWood@gmail.com,8185644564,student
